,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm,dec_8_self_dot_ratio_norm,dec_9_self_dot_ratio_norm,dec_10_self_dot_ratio_norm,dec_11_self_dot_ratio_norm,dec_12_self_dot_ratio_norm,dec_13_self_dot_ratio_norm,dec_14_self_dot_ratio_norm,dec_15_self_dot_ratio_norm
38,0.01435065,0.014351187,0.0143476315,0.014350621,0.014347926,0.014345303,0.014347351,0.014348608,0.014355517,0.014353729,0.014350636,0.0143515,0.014350527,0.014348105,0.014352789,0.014351246
39,0.014374424,0.014380766,0.014378395,0.014379781,0.014381101,0.014378795,0.01437665,0.014380567,0.01437835,0.0143811945,0.014377878,0.014376812,0.014379415,0.014378913,0.014379789,0.014379726
40,0.014374802,0.0143759325,0.01437649,0.01437675,0.0143749,0.0143733015,0.014375798,0.0143793365,0.014375037,0.014372972,0.014377901,0.014371741,0.014371975,0.014374714,0.014374578,0.014375383
41,0.014408727,0.0144110825,0.014408748,0.014409623,0.014407588,0.014407924,0.014409672,0.014409638,0.014406062,0.014408252,0.0144085325,0.014409406,0.014410304,0.014409668,0.014411516,0.014407637
42,0.014364965,0.0143599,0.014367942,0.014360953,0.014362533,0.014364016,0.014368086,0.014365611,0.014363797,0.014361534,0.014363131,0.014367103,0.014364952,0.014365672,0.014364406,0.014362509
43,0.014285879,0.014280943,0.014286843,0.014281654,0.014290456,0.014283991,0.014285905,0.014286488,0.014287465,0.01429085,0.014290052,0.014288235,0.014284553,0.01428278,0.014285697,0.014288966
44,0.014367739,0.014358478,0.014362735,0.014365043,0.014361547,0.014357701,0.014362686,0.014354658,0.014358867,0.014358365,0.014358115,0.014357649,0.014356998,0.014358669,0.014361711,0.014360408
45,0.01430806,0.014305908,0.014312137,0.014308669,0.014307442,0.01430925,0.014306708,0.014309382,0.014309678,0.014308157,0.014307561,0.014309007,0.014308068,0.014305446,0.014307594,0.014307268
46,0.014379716,0.014379229,0.014383398,0.014376684,0.014380319,0.014381369,0.014384006,0.014381367,0.014381459,0.014379215,0.014381724,0.014381082,0.014381264,0.014382593,0.014378934,0.014381712
47,0.014222633,0.014225949,0.014226377,0.014226056,0.014223484,0.014224819,0.014226292,0.01422312,0.014223054,0.014225465,0.01422471,0.014223723,0.0142232375,0.014223528,0.014225213,0.014225751
48,0.014364463,0.014364326,0.014365832,0.01436295,0.014366622,0.014365526,0.014361668,0.0143644465,0.014365753,0.014366684,0.014369747,0.01436656,0.014364691,0.014368525,0.0143643925,0.014364202
49,0.014336931,0.014335945,0.014334147,0.014338432,0.01433642,0.014338232,0.014334968,0.014339071,0.014335426,0.014338087,0.014337997,0.014338877,0.014337438,0.014339492,0.0143343825,0.014334359
50,0.014351792,0.014347747,0.014348782,0.014346828,0.0143506285,0.014347242,0.014346529,0.014346123,0.014350269,0.014349712,0.014345046,0.014350463,0.014347962,0.014347575,0.014349505,0.01435058
51,0.014349593,0.014352688,0.014350495,0.014352381,0.014349588,0.014353015,0.014349988,0.014350748,0.014351478,0.014349734,0.014351679,0.014354026,0.014349694,0.0143496515,0.014352991,0.014352396
52,0.014326057,0.014325928,0.014322924,0.014321368,0.014324575,0.014323125,0.014327695,0.014324438,0.014322735,0.014322009,0.014325858,0.014323246,0.014326312,0.014325024,0.014324779,0.014324148
53,0.014472086,0.014472976,0.014467539,0.01447013,0.014469913,0.0144708045,0.014474942,0.014475049,0.0144739235,0.014473617,0.014475121,0.014472625,0.014469632,0.014471313,0.014468723,0.014468216
