,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm,dec_8_self_dot_ratio_norm,dec_9_self_dot_ratio_norm,dec_10_self_dot_ratio_norm,dec_11_self_dot_ratio_norm,dec_12_self_dot_ratio_norm,dec_13_self_dot_ratio_norm,dec_14_self_dot_ratio_norm,dec_15_self_dot_ratio_norm
58,0.0018793903,0.0018790023,0.0018793074,0.001878707,0.001879276,0.0018795894,0.0018800072,0.0018789944,0.001879477,0.0018793296,0.0018793561,0.0018790478,0.001879197,0.0018789669,0.0018796015,0.0018791847
59,0.0018766241,0.0018766631,0.0018770619,0.0018767407,0.0018766723,0.0018766529,0.0018767045,0.0018766697,0.0018764249,0.001876717,0.0018773545,0.0018769,0.001877167,0.0018769613,0.0018773413,0.0018769633
60,0.001896355,0.0018962136,0.001896998,0.0018967305,0.0018968033,0.0018965221,0.0018953487,0.00189666,0.001896529,0.0018963759,0.0018961166,0.0018965389,0.0018965449,0.0018964787,0.0018961822,0.0018963927
61,0.0018791013,0.0018781809,0.0018785204,0.0018777796,0.0018784074,0.0018778964,0.0018782322,0.0018780075,0.0018782844,0.0018787719,0.0018780254,0.0018778134,0.0018781354,0.0018778865,0.0018783432,0.0018783608
62,0.0018781153,0.0018782429,0.0018782676,0.0018779376,0.0018781235,0.0018779854,0.0018784861,0.0018785686,0.0018786227,0.0018775763,0.0018787896,0.0018779268,0.0018779595,0.0018778481,0.0018785923,0.0018778446
63,0.0018805567,0.0018810801,0.0018813345,0.0018812411,0.0018812922,0.0018807938,0.0018810452,0.0018808673,0.0018807149,0.0018816665,0.0018815267,0.0018806631,0.0018807591,0.001881131,0.0018810288,0.0018815527
64,0.0018902611,0.0018904586,0.0018910624,0.0018909376,0.0018910024,0.0018905178,0.0018907564,0.0018906692,0.0018907137,0.001891097,0.0018907585,0.0018903967,0.0018909404,0.0018903237,0.0018910818,0.0018909217
65,0.0018859307,0.0018853138,0.0018861843,0.001884886,0.0018861663,0.0018851937,0.001885812,0.0018859509,0.0018853428,0.0018862337,0.001885789,0.0018853049,0.0018858064,0.0018860176,0.0018855144,0.0018855941
66,0.0019125524,0.0019125756,0.0019126828,0.0019126831,0.0019116222,0.001912313,0.0019127881,0.0019128353,0.0019128722,0.0019123047,0.0019128869,0.0019128846,0.0019128842,0.0019124686,0.0019134438,0.001911723
67,0.0018727068,0.0018731252,0.0018730403,0.0018730643,0.0018728602,0.0018729042,0.0018725827,0.0018732063,0.0018728812,0.0018727167,0.0018725849,0.0018725854,0.0018730361,0.001872839,0.001872787,0.0018728953
68,0.001889097,0.0018890717,0.001889735,0.0018885141,0.0018886438,0.0018887739,0.0018891309,0.0018890133,0.0018887797,0.0018884965,0.0018881622,0.0018892061,0.0018894305,0.0018893668,0.0018881371,0.001889084
69,0.0018864684,0.0018863699,0.0018867165,0.0018872711,0.0018865245,0.001886085,0.0018864666,0.0018868948,0.0018861716,0.0018858406,0.0018864407,0.0018860644,0.0018864574,0.0018861112,0.001886295,0.0018864486
70,0.0018949151,0.0018957978,0.0018958221,0.0018946829,0.0018949928,0.0018945498,0.001895159,0.001895047,0.0018952397,0.0018946263,0.0018947279,0.0018949958,0.001895529,0.0018954524,0.0018952539,0.0018944747
71,0.0018849261,0.0018849298,0.0018848153,0.0018849076,0.0018847953,0.0018850543,0.0018845614,0.0018847873,0.0018853289,0.0018848742,0.0018850369,0.0018848913,0.0018848678,0.0018845738,0.0018850161,0.0018846006
72,0.0018787354,0.0018786116,0.0018786346,0.0018783794,0.0018787048,0.0018791846,0.0018791778,0.0018785624,0.0018792232,0.0018783843,0.0018783668,0.0018787774,0.0018781021,0.0018791838,0.0018789717,0.0018784684
73,0.0018874075,0.001886742,0.001887339,0.0018873665,0.0018874966,0.0018870382,0.0018862557,0.0018872006,0.0018872485,0.0018869624,0.0018869475,0.0018871161,0.0018867434,0.0018867952,0.0018867255,0.0018867531
74,0.0018781156,0.0018782915,0.0018785676,0.0018778255,0.0018780433,0.0018777482,0.0018780653,0.0018777561,0.0018777809,0.0018784467,0.0018779923,0.0018780072,0.0018783809,0.0018779295,0.0018782505,0.0018783438
75,0.001881007,0.0018805012,0.0018807176,0.0018805749,0.0018811455,0.0018804665,0.0018806871,0.0018806104,0.0018805397,0.0018811112,0.001881138,0.0018808637,0.0018807512,0.0018808277,0.0018810589,0.0018812232
76,0.0018937094,0.0018937386,0.0018935307,0.0018936754,0.0018932796,0.0018936652,0.0018938086,0.0018937554,0.001893378,0.0018934096,0.001893849,0.0018931649,0.0018934896,0.0018934499,0.0018934244,0.0018928214
77,0.001879398,0.0018797019,0.0018790681,0.0018793754,0.001879217,0.0018795833,0.0018801856,0.0018790299,0.00187935,0.0018793911,0.0018797178,0.0018790972,0.0018794588,0.0018793243,0.0018795914,0.0018795585
78,0.0018798615,0.0018803158,0.0018798137,0.0018803942,0.001879555,0.0018796029,0.0018801532,0.0018798095,0.0018800528,0.0018798895,0.001880069,0.0018799432,0.0018800638,0.0018798106,0.0018801076,0.0018795638
79,0.0018765675,0.0018762558,0.0018763553,0.0018765379,0.0018761064,0.0018766113,0.0018762429,0.0018763781,0.0018760831,0.0018764902,0.0018761264,0.001876293,0.001876264,0.0018763794,0.0018766578,0.001876387
