,dec_1_drift_from_origin,dec_2_drift_from_origin,dec_3_drift_from_origin,dec_4_drift_from_origin,dec_5_drift_from_origin,dec_6_drift_from_origin
265,0.7914446,0.7963863,0.8148927,0.7915547,0.76475745,0.7594821
266,0.52507067,0.5342661,0.5496296,0.52690935,0.52048254,0.49567842
267,0.8129296,0.8163169,0.82794785,0.8051894,0.7984204,0.7604394
268,0.9797027,0.9889699,0.9835513,0.99489725,0.9834786,0.96127725
269,0.78476524,0.7942055,0.81814206,0.791191,0.77559245,0.75223047
270,0.8646895,0.87503135,0.8999295,0.87387204,0.8512988,0.7989614
271,0.64277554,0.6491378,0.66066206,0.63680685,0.5986384,0.5893309
272,0.67667216,0.6910527,0.68994,0.6450244,0.5840608,0.5389315
273,0.44876248,0.45671117,0.46361786,0.45071012,0.44515103,0.46430832
274,0.08478469,0.08516073,0.08637065,0.08020407,0.0743978,0.06715542
275,0.62461495,0.6317153,0.6433606,0.6129352,0.5962591,0.56998146
276,0.76008344,0.7567418,0.7657451,0.7451917,0.7373177,0.7184788
277,0.027129233,0.028624594,0.027424812,0.024353087,0.021326661,0.019859254
278,0.34278977,0.34883624,0.3655805,0.3433975,0.33310592,0.3081699
279,0.828966,0.8278927,0.8394867,0.83740705,0.8360433,0.8117351
280,0.79416263,0.7994877,0.80412734,0.797347,0.81008136,0.8170193
281,0.035169184,0.035393,0.03491372,0.03423816,0.033169508,0.032574594
282,0.4943,0.49727762,0.51846546,0.49929237,0.49524766,0.47613448
283,0.89039814,0.89193493,0.9086711,0.8861542,0.8657048,0.8374335
284,0.7564732,0.7581004,0.7666755,0.7320937,0.7123511,0.6816304
285,0.12052697,0.121792614,0.12489116,0.11803067,0.11369568,0.11070341
286,0.54783547,0.5474751,0.5634694,0.5361619,0.5162546,0.5088744
287,0.11040634,0.1135509,0.11572862,0.10891986,0.10249901,0.09372747
288,0.07269639,0.07379013,0.07402086,0.070786774,0.065865874,0.061838984
289,0.82352877,0.8186263,0.8288328,0.8160473,0.8153462,0.81665087
290,0.60239464,0.60546154,0.61013895,0.6000846,0.5988133,0.5784889
291,0.51805925,0.52808535,0.55007136,0.5359128,0.5312441,0.5356941
292,0.6024412,0.60618603,0.6078252,0.5951563,0.5951692,0.57618904
293,0.7540728,0.7601933,0.7744701,0.75532115,0.7387684,0.70835066
294,0.7418699,0.7343606,0.74646616,0.7219968,0.72059244,0.69268966
295,0.07145089,0.073800385,0.07701886,0.07050109,0.06459004,0.058734655
296,0.20701933,0.21217728,0.21664208,0.21773678,0.23406911,0.21527553
297,0.3908378,0.39244246,0.40006,0.39376134,0.395486,0.3824315
298,0.8546655,0.8610949,0.8662104,0.8669938,0.8716264,0.86559844
299,0.015159249,0.015734792,0.015385687,0.014400065,0.0130672455,0.012335777
300,0.1556322,0.15745318,0.16299653,0.15230632,0.1430369,0.13143086
301,0.6682091,0.66970545,0.6887679,0.6708778,0.6755419,0.63369143
302,0.05787164,0.06400603,0.060812235,0.04775238,0.037218392,0.032316327
303,0.74281883,0.7476127,0.7616367,0.7359859,0.7328519,0.7132484
304,0.7555548,0.7488195,0.76465845,0.75088376,0.7413376,0.7263839
305,0.01939261,0.01958996,0.019339085,0.019067466,0.018338382,0.017883122
306,0.92689013,0.93454176,0.93801546,0.924693,0.9034229,0.8610889
307,0.5178628,0.52367795,0.5341701,0.52204025,0.51226145,0.4947312
308,0.8437429,0.8409213,0.83969074,0.82394356,0.82134664,0.79268885
309,0.74328184,0.753954,0.7724397,0.7526069,0.7302685,0.69036317
310,0.8832482,0.88069874,0.88364,0.8667802,0.85972154,0.84386504
311,0.68250275,0.6817329,0.6923927,0.67336303,0.643679,0.61051154
312,0.8003212,0.8001001,0.8000972,0.7870239,0.79263,0.76093566
313,0.7051604,0.70499206,0.71805286,0.7067843,0.7088344,0.70706654
314,0.82221067,0.8279531,0.84605825,0.83392465,0.8411973,0.82178
